"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"153",6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,7
"154",7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
"155",6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6
"156",7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6
"157",7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
"158",6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
"159",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"160",6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,5
"161",7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
"162",7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6
"163",6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
"164",7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
"165",7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
"166",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
"167",7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
"168",7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
"169",8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6
"170",6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,6
"171",7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
"172",5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5
"173",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
"174",6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6
"175",7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6
"176",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
"177",6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
"178",5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
"179",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"180",6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
"181",6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5
"182",6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
"183",6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
"184",7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6
"185",7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
"186",8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
"187",6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6
"188",6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6
"189",6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
"190",6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
"191",6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
"192",7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
"193",6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
"194",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5
"195",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
"196",7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,6
"197",7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
"198",6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
"199",7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
"200",7.1,0.16,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,6
"201",6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
"202",7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
"203",6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,5
"204",7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
"205",7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7
"206",6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6
"207",5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5
"208",6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,5
"209",6.1,0.27,0.31,3.9,0.034,42,137,0.99218,3.24,0.46,10.9,6
"210",7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5
"211",7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
"212",6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
"213",6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
"214",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
"215",7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6
"216",6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6
"217",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
"218",6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5
"219",5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6
"220",6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7
"221",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
"222",6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,6
"223",7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
"224",6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
"225",6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6
"226",5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
"227",7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,5
"228",6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6
"229",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
"230",6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5
"231",6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
"232",6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
"233",6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
"234",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
"235",6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6
"236",6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
"237",5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
"238",6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
"239",6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
"240",7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5
"241",6.4,0.32,0.31,1.9,0.037,34,126,0.99,3.06,0.45,11.8,6
"242",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"243",6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
"244",5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,7
"245",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5
"246",6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5
"247",7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,5
"248",6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6
"249",5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,6
"250",5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,6
"251",8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5
"252",7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
"253",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"254",6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,5
"255",7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9,6
"256",7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
"257",6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
"258",6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
"259",6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6
"260",5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,6
"261",7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
"262",7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
"263",8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
"264",6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
"265",9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6
"266",6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6
"267",6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7
"268",8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,5
"269",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
"270",7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6
"271",6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
"272",5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
"273",6.5,0.2,0.35,3.9,0.04,27,140,0.99102,2.98,0.53,11.8,6
"274",6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6
"275",6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
"276",7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5
"277",6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
"278",6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6
"279",7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
"280",7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5
"281",6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5
"282",5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
"283",7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
"284",6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
"285",7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,5
"286",6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6
"287",6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5
"288",6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6
"289",5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
"290",6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
"291",7.2,0.32,0.24,5.6,0.033,23,120,0.99334,2.92,0.66,10.3,7
"292",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"293",6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8,7
"294",7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6
"295",8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
"296",7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
"297",7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
"298",6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,6
"299",6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5
"300",5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,7
"301",6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6
"302",7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6
"303",6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
"304",5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5
"305",6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,6
"306",6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7
