"X1","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","kurtosis_picth_belt","skewness_roll_belt","skewness_roll_belt.1","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","var_total_accel_belt","avg_roll_belt","stddev_roll_belt","var_roll_belt","avg_pitch_belt","stddev_pitch_belt","var_pitch_belt","avg_yaw_belt","stddev_yaw_belt","var_yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","var_accel_arm","avg_roll_arm","stddev_roll_arm","var_roll_arm","avg_pitch_arm","stddev_pitch_arm","var_pitch_arm","avg_yaw_arm","stddev_yaw_arm","var_yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","skewness_pitch_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","stddev_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","stddev_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","stddev_yaw_dumbbell","var_yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","stddev_roll_forearm","var_roll_forearm","avg_pitch_forearm","stddev_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","stddev_yaw_forearm","var_yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
5739,"pedro",1323095003,964319,"05/12/2011 14:23",75,122,27.3,-6.13,19,"-0.208121","-1.344995","-0.046060",-4,21,"1.8",-6.1,18,"1.8",2.14,0.4,122.1,0.8,0.6,26.5,0.3,0.1,-4.6,0.5,0.25,-0.63,-0.03,-0.51,-41,73,-171,-7,578,-363,138,-54.5,73.4,23,88.0044,-29.5509,161.9636,26232.2079,-29.0523,28.4393,808.7941,36.1149,37.8599,1433.3702,2.62,-1.81,0.07,203,53,94,438,361,365,-1.2492,"2.27297","-0.47927",0.059,"1.65278","0.38277",16.3,152,57,-73.7,0.3,22,90,151.71,35,-69.5,2.3,87.6,0.3157,16.7,98.8,-0.8,-56.9,24.7,-0.8,73.62,74.08,0,9,1.3929,-87.9793,16.256,264.2559,-19.8841,19.3646,374.989,60.4467,22.1365,490.0238,0.45,-0.66,0,2,-55,66,404,-616,-151,118,2.11,78.4,"-0.6660","-1.7949","#DIV/0!","-0.2277","0.1830","#DIV/0!",71.3,165,"-0.7",2.1,-175,"-0.7",69.19,340,"0.00",38,43.24123,-18.14035,136.38318,18600.37281,39.70158,18.72548,350.64373,-13.03158,107.2972,11512.68934,0.18,0.95,0.41,140,315,-142,-152,751,736,"B"
5832,"pedro",1323095007,972328,"05/12/2011 14:23",79,121,26,-5.22,20,"0.427409","0.194238","0.869135",-3.3,21,"-0.7",-5.5,18,"-0.7",2.12,0.6,121.7,1,0.9,26.5,0.3,0.1,-4.5,0.6,0.37,-0.42,-0.02,-0.41,-45,70,-177,-3,588,-368,155,18.6,13.7,34,165.9475,127.7443,17.9681,322.8532,0.6516,23.5619,555.161,31.0944,61.1711,3741.9041,3.2,-3.44,-0.67,325,-21,-54,685,197,-124,-1.80895,"-1.32737","-0.91636",-0.00696,"0.35797","-0.12451",30.1,134,53,-28.5,-46.6,7,58.6,180.6,46,-89.8,-61.6,23.5,-0.2827,46.9,137,-0.9,-61.6,23.5,-0.9,108.53,113.58,0,14,5.1798,-58.5801,33.0768,1094.076,-3.1297,27.5552,759.2873,87.8452,35.6706,1272.3938,-0.4,0.63,-0.07,-82,-111,33,89,-723,-207,113,22.8,109,"-0.7210","-1.8672","#DIV/0!","-0.4243","0.1730","#DIV/0!",66.3,176,"-0.7",20.4,-178,"-0.7",45.9,354,"0.00",31,78.32787,25,145.56785,21190,47.71803,12.31119,151.5655,-6.10984,133.36713,17786.79057,-0.47,3.08,1,0,280,-108,-616,708,856,"B"
5864,"pedro",1323095010,876304,"05/12/2011 14:23",81,121,27.4,-6.8,18,"1.114119","-0.904813","-1.200976",-3.2,21,"-0.5",-6.8,18,"-0.5",3.59,0.5,122.5,0.7,0.5,26,0.8,0.6,-4.4,1.1,1.29,-0.56,-0.05,-0.48,-29,67,-160,-16,582,-366,132,-6.7,103,14,74.0071,140.7188,5.0176,25.1764,6.5491,10.5792,111.9185,42.5269,41.617,1731.9712,1.65,-1.16,-0.43,52,80,93,-243,463,437,-1.63284,"-1.28813","-1.16351",0.16574,"-0.17734","0.28679",21.7,103,42,-6.7,-28.2,13,28.4,131.2,29,-112.1,-27.8,34.4,0.7136,-23.2,63.5,-0.5,-94,8.2,-0.5,70.79,55.3,0,15,3.1613,-97.864,19.1667,367.3635,-47.6978,20.0088,400.351,28.5225,13.0394,170.0248,0.19,-1.35,0.2,-39,-128,48,300,-677,-179,132,-8.32,97.4,"0.0484","0.1637","#DIV/0!","1.0531","0.7728","#DIV/0!",30.7,109,"0.0",-13.4,80.9,"0.0",44.1,28.1,"0.00",37,11.22177,128.15625,5.89209,34.71673,-0.84531,12.87736,165.82635,90.38125,7.20266,51.87835,0.61,-1.28,-0.16,100,310,-152,-230,780,685,"B"
5922,"pedro",1323095012,996453,"05/12/2011 14:23",83,119,26.8,-9.19,19,"-0.108371","-0.679299","0.157663",-3.4,21,"-1.3",-10.5,17,"-1.3",7.08,0.7,120.5,1.3,1.6,26.4,0.9,0.8,-6,2.6,6.69,-0.16,-0.05,-0.39,-34,71,-167,-7,588,-366,125,-4.68,127,4,253.01,130.2281,6.9694,48.5721,11.3918,10.1102,102.2165,40.8342,63.3618,4014.7169,0.48,-0.26,-0.39,9,4,38,-501,361,375,-1.51198,"-1.48144","-1.30236",-0.32395,"-0.14513","0.24329",23.3,127,54,-4.7,-53,4,27.98,180,50,-107.5,-31,37.4,0.6202,21.2,109.1,-0.7,-62.4,10.1,-0.7,83.68,99.02,0,12,1.5739,-89.0308,14.6365,214.2275,-30.7784,24.8626,618.1508,49.5862,25.5239,651.4714,0.82,-0.83,0.1,-35,-101,42,303,-680,-185,135,24.5,138,"0.1675","0.0541","#DIV/0!","1.0538","0.9567","#DIV/0!",61.3,154,"0.2",-10.2,78.4,"0.2",71.5,75.6,"0.00",39,23.1485,131.36842,6.46869,41.84398,9.51474,19.93219,397.29205,100.45614,19.30839,372.81393,1.16,-3.93,-0.62,-48,358,-130,-662,617,763,"B"
5935,"pedro",1323095013,992327,"05/12/2011 14:23",84,121,25.4,-4.06,19,"-0.137772","-1.648813","0.417859",-4.1,21,"2.1",-8.8,18,"2.1",4.76,0.5,121.8,0.9,0.8,25.8,0.4,0.1,-5.3,1.2,1.42,-0.4,-0.02,-0.46,-40,70,-164,6,588,-356,113,13.2,-28.5,35,91.8361,116.7209,1.8429,3.3965,3.046,6.6623,44.3864,74.1137,52.7474,2782.2836,-3.92,1.88,0.74,315,-41,-120,632,-34,-344,-1.34874,"-1.14421","-1.22207",0.38807,"-0.53018","-0.10593",13.7,130,35,-4.9,-28.5,4,18.6,158.5,31,-15.9,30.1,122.8,-0.8607,65.1,150.8,0.2,-30,21.9,0.2,95.14,128.91,0,10,2.7774,-36.2428,37.0019,1369.1392,16.6933,21.3509,455.8617,104.1269,27.8975,778.2686,0.9,0.55,-1.23,28,-15,89,518,-541,-70,148,62.9,170,"-0.5568","0.5635","#DIV/0!","0.2602","1.4717","#DIV/0!",65.2,177,"-0.6",27.3,-177,"-0.6",37.9,354,"0.00",16,79.44408,-22.48837,161.17565,25977.58915,46.22558,9.84635,96.95052,-68.05116,113.73912,12936.5878,-0.67,4.08,1.92,-9,125,-91,-635,126,808,"B"
5959,"pedro",1323095015,980380,"05/12/2011 14:23",85,121,26.9,-6.31,19,"-0.532634","-0.302839","0.142815",-4.9,21,"-1.5",-9.4,18,"-1.5",4.49,0.7,121.6,1.1,1.2,27,0.7,0.5,-6.9,1.6,2.51,-0.35,0,-0.52,-35,68,-166,-17,581,-359,108,17.8,16.2,27,56.8659,124.5106,8.7324,76.2553,9.7394,6.4339,41.3945,99.3532,32.7749,1074.1943,-4.16,1.62,1.08,247,55,61,686,217,83,-1.66534,"0.29391","-1.20662",0.25571,"-1.23051","0.54151",18.8,127,27,2.5,16.2,3,16.32,110.8,24,-19.9,-3.1,136.9,0.1717,80.4,136.9,0.4,-52.8,23,0.4,133.23,113.94,0,10,6.3959,-68.9105,36.9223,1363.2585,-8.066,34.1407,1165.5853,72.1396,34.4411,1186.1927,-0.02,-0.63,0.44,-3,-19,94,557,-487,-53,173,57,-148,"0.1567","-1.5831","#DIV/0!","-1.0483","0.5437","#DIV/0!",57,178,"0.2",5.3,-174,"0.2",51.71,352,"0.00",19,101.33117,5.85106,159.05837,25299.56429,39.77787,14.10649,198.99302,-25.04894,125.89458,15849.4456,-1.16,3.03,1.33,-88,-46,-155,-513,-175,536,"B"
6038,"eurico",1322489641,998639,"28/11/2011 14:14",242,1.53,3.17,-89.1,2,"-1.851307","-0.107782","0.475418",-88.7,3,"-1.1",-89.1,2,"-1.1",0.4,0.1,1.5,0.2,0.1,3.4,0.5,0.3,-88.9,0.1,0.02,-0.05,0,-0.07,-8,4,17,24,561,-442,85.9,5.57,81.5,27,13.0227,94.1848,12.2506,150.0776,-18.5215,14.4156,207.8088,38.8464,30.1429,908.5931,1.77,-0.95,0.28,-167,201,-65,-37,327,598,-0.75971,"-1.53916","-0.77550",0.81698,"-0.04934","0.77287",5.6,81.5,48,-38.2,-51.5,19,43.77,133,29,30.4,98.3,48.5,0.31,105.4,154.2,-1.3,-45.1,-21.1,-1.3,150.54,175.32,0,25,21.1326,31.3375,4.5125,20.3625,79.7193,26.3221,692.8526,65.926,25.1831,634.19,0.59,-0.71,-0.21,200,72,112,264,378,360,178,21.5,103,"4.3514","0.1412","#DIV/0!","-1.4133","-1.1923","#DIV/0!",21.5,110,"4.4",15.5,24.5,"4.4",6,85.5,"0.00",35,1.92614,177.12121,1.05349,1.10985,19.63333,0.60605,0.36729,103.51212,5.74471,33.00172,-0.55,-0.35,0.61,-107,245,215,-621,1150,-535,"B"
6066,"eurico",1322489644,982638,"28/11/2011 14:14",243,1.2,2.45,-88.6,3,"-0.726999","0.425377","-0.063162",-88.2,3,"-1.3",-88.7,1,"-1.3",0.5,0.3,1.5,0.4,0.2,2.2,0.4,0.2,-88.5,0.2,0.02,0.14,-0.02,-0.07,-7,4,24,25,565,-430,84.9,10.8,110,31,19.6753,82.7577,2.1474,4.6115,4.2723,9.7878,95.8013,93.5481,22.7605,518.0422,-0.26,-0.18,0.39,-236,141,-135,-334,296,564,0.47087,"-0.44586","-0.27868",-1.28438,"-0.95026","-1.00168",12.1,114,32,-21.5,40.7,17,33.6,73.3,15,37,88.1,55.1,1.3799,101,126.9,0.8,21.8,41.2,0.8,79.25,85.67,0,21,21.8582,33.6457,4.6572,21.6892,82.2125,22.3238,498.3533,62.3152,23.173,536.9901,0.83,-0.55,-0.31,162,76,110,186,409,383,165,7.96,-8.01,"1.2306","0.8729","#DIV/0!","-1.5397","-1.4067","#DIV/0!",25.8,111,"1.2",8,-8,"1.2",17.84,119.01,"0.00",34,11.04525,-36,172.42037,29728.78431,21.87346,4.98634,24.86354,85.39577,34.07751,1161.2764,-0.71,4.74,0.69,244,143,180,538,-586,51,"B"
6118,"eurico",1322489646,998665,"28/11/2011 14:14",245,1,3.48,-88.9,3,"-2.056566","-0.040992","-0.165522",-88.9,3,"-0.2",-89.2,2,"-0.2",0.3,0.3,1.5,0.4,0.1,4,0.4,0.1,-89.1,0.1,0,0.08,0.03,0.05,-6,4,30,40,562,-437,86,11.2,116,31,0.1506,86.836,0.428,0.1832,12.004,0.4056,0.1645,116,0.7559,0.5714,-0.06,0.03,0,-228,156,-133,-342,307,543,-1.22683,"-1.21476","0.98887",-0.47191,"0.00000","-1.71782",12.5,117,32,11.2,115,31,1.3,2,1,34.1,75,70.8,0.2861,75,154.8,-0.2,-53.2,-64.5,-0.2,128.22,219.3,0,16,17.3404,-62.0814,66.6512,4442.3857,-4.0135,32.6841,1068.2498,28.158,71.509,5113.5417,-1.53,0.64,0.08,108,53,103,92,381,404,-174,19.2,108,"-0.7315","-1.2502","#DIV/0!","-0.4853","-0.4609","#DIV/0!",28.8,110,"-0.7",11.1,-62.2,"-0.7",17.7,172.2,"0.00",37,35.34245,-9.96,173.44433,30082.93714,22.538,5.01039,25.10404,46.988,58.17903,3384.79949,-0.22,0.79,0.79,-53,302,202,-720,1180,-567,"B"
6145,"eurico",1322489647,982678,"28/11/2011 14:14",246,0.96,2.52,-88.3,2,"3.139371","-0.359078","1.005522",-88.2,4,"-0.5",-88.9,1,"-0.5",0.7,0.3,1.6,0.4,0.2,3.1,0.4,0.2,-88.5,0.2,0.03,0.05,-0.02,-0.08,-7,3,22,38,561,-437,77.5,-3.08,89.5,22,8.519,84.6319,2.7674,7.6583,9.1436,3.8195,14.5889,110.7745,6.8776,47.3015,-2.26,0.72,-0.36,-97,186,41,84,217,625,2.80152,"2.02943","1.16696",-1.946,"-1.69901","-1.52916",11.6,116,32,-3.1,89.5,22,14.68,26.5,10,45.3,77.8,59.6,1.308,106.1,72.3,0.1,73.2,41.4,0.1,32.97,30.9,0,18,6.593,35.5596,4.7008,22.0973,93.9297,7.9381,63.0128,49.3946,7.2053,51.9165,1.35,-0.9,-0.36,125,78,100,64,393,408,175,8.76,-123,"-1.7211","-1.4544","#DIV/0!","0.2504","0.0569","#DIV/0!",20.4,106,"-1.7",4.8,-123,"-1.7",15.57,229,"0.00",32,94,112.89362,132.34511,17515.22757,11.99532,6.19188,38.33936,-8.58149,75.66463,5725.13696,-0.61,2.04,1.16,-183,-140,217,-447,-211,-64,"B"
6178,"eurico",1322489649,995890,"28/11/2011 14:14",247,1.01,3.15,-88.3,2,"-2.078431","0.638323","0.000000",-88.2,3,"-1.7",-88.3,2,"-1.7",0.1,0.3,1.3,0.6,0.3,2.3,0.6,0.4,-88.3,0,0,0.06,0.02,0.03,-6,2,21,38,570,-440,88.5,15.2,120,32,32.6572,94.5944,13.1494,172.9062,-5.8843,17.4161,303.3205,45.6143,58.6074,3434.8219,0.16,0.03,0.03,-235,160,-128,-451,320,463,-1.68602,"-1.04776","-0.91934",-0.09454,"-0.44472","0.01191",15.2,120,40,-29.1,-68.6,19,44.3,188.6,21,31.4,101.7,43.9,-0.4182,101.8,146.6,-1.5,-46.8,-41.9,-1.5,148.63,188.59,0,25,64.1747,-7.4322,61.8179,3821.4508,39.2367,52.1541,2720.0498,56.6559,51.2394,2625.4806,0.19,0.13,-0.34,212,77,106,327,369,340,169,16.9,8.88,"-1.2199","0.3039","#DIV/0!","0.3326","-1.0494","#DIV/0!",23.9,112,"-1.2",15.3,8.9,"-1.2",8.6,103.12,"0.00",36,9.4399,-97.59259,146.82495,21557.56674,18.89074,2.72745,7.43897,84.14593,27.61814,762.76159,-0.48,4.32,1.15,185,246,171,447,-273,-85,"B"
6515,"carlitos",1323084266,984360,"05/12/2011 11:24",348,1.65,6.56,-92.6,3,"1.917907","-0.550914","1.954397",-92.3,4,"0.2",-92.6,3,"0.2",0.3,0.1,1.4,0.3,0.1,5.8,0.7,0.6,-92.4,0.1,0.01,-0.02,0,-0.02,-17,4,24,3,601,-309,81,-39.1,21.9,17,65.8841,73.8526,3.6719,13.4826,-5.1234,21.5195,463.0895,77.3816,28.3912,806.0605,-2.41,0.85,-0.52,78,62,-134,747,-48,153,-1.6111,"-1.12466","-1.47658",-0.20752,"-0.53702","-0.49017",19.8,108,33,-39.1,21.9,12,58.9,86.1,21,116.1,39.8,9,0.5816,79.1,21.5,-0.5,10.7,-8.3,-0.5,68.37,29.76,0,14,8.857,109.9949,16.3803,268.3139,45.5844,18.2494,333.0397,4.8147,6.9058,47.6895,0.27,-1.41,-0.08,52,123,12,-240,581,-40,-90.9,68.4,-40.2,"-1.2678","0.6086","#DIV/0!","-0.4205","-1.5417","#DIV/0!",86.8,133,"-1.3",-25.3,-41.5,"-1.3",112.1,174.5,"0.00",32,60.85704,55.58447,68.53283,4696.74932,41.38579,37.00436,1369.32237,95.19447,63.4418,4024.86246,-0.35,-1.93,-0.8,-155,-152,-230,-349,-402,256,"B"
6542,"carlitos",1323084267,972297,"05/12/2011 11:24",349,1.61,5.73,-92.7,3,"-0.477443","0.143771","1.241064",-92.4,4,"-1.2",-92.7,3,"-1.2",0.3,0.2,1.3,0.3,0.1,6.9,0.7,0.5,-92.6,0.1,0.01,-0.08,0,-0.02,-16,6,25,1,610,-306,68.2,3.71,89.4,28,52.7299,99.3155,24.0177,576.8508,-36.6562,17.8744,319.4943,17.3845,44.0806,1943.0987,1.88,-0.74,-0.38,-233,136,-34,-92,340,585,-0.41972,"-1.44727","-0.88274",1.0402,"0.18677","0.36282",3.7,89.4,38,-52.6,-42,13,56.31,131.4,25,-151.8,0,5.3,0.9511,83.7,128.4,1.3,-95.5,-56.5,1.3,179.17,184.91,0,4,16.6122,60.0371,101.2421,10249.9668,3.3371,31.0797,965.9448,20.7336,44.1366,1948.0393,0.13,0.03,0.05,0,-38,2,-566,262,-22,113,-32.8,109,"-1.3363","-0.9271","#DIV/0!","-0.4099","-1.0143","#DIV/0!",87.5,129,"-1.3",-32.8,-44.8,"-1.3",120.3,173.8,"0.00",41,36.7441,43.36379,82.37115,6785.00621,36.96828,39.56077,1565.05463,76.6781,69.84166,4877.85767,0.16,1.06,0.21,130,305,-227,-111,697,420,"B"
6608,"carlitos",1323084271,960386,"05/12/2011 11:24",352,0.92,6.96,-92.8,3,"2.777851","0.138543","-2.156553",-92.6,3,"-0.3",-92.9,2,"-0.3",0.3,0.1,1.4,0.3,0.1,6.9,0.3,0.1,-92.8,0.1,0.01,0.06,0,-0.03,-16,5,29,12,605,-307,113,-58.3,-7.24,23,84.3023,100.3558,25.8166,666.4992,-48.3163,10.0236,100.4723,-0.0188,35.7728,1279.6951,1.88,-1.06,0.89,114,22,-193,773,-164,9,-0.64958,"-1.23874","-1.41687",0.88909,"0.45688","-0.10843",-25.4,66.4,37,-58.3,-42.7,9,32.9,109.1,28,139.4,10.6,-14.1,0.2432,95.6,35.5,-1.6,-6.1,-14.1,-1.6,101.66,49.62,0,3,29.3045,104.2091,26.614,708.3074,45.6189,33.2713,1106.9777,13.5328,11.1443,124.1951,0.31,-0.67,0.26,3,28,-4,-516,355,-51,116,-26.1,111,"-0.0567","-0.6452","#DIV/0!","1.1372","-0.3678","#DIV/0!",-24.8,111,"-0.1",-26.3,108,"-0.1",1.5,3,"0.00",38,0.24474,116.72093,0.45385,0.20598,-25.82791,0.45004,0.20254,109.88372,0.90526,0.81949,0.02,-0.02,-0.02,138,246,-237,-136,706,457,"B"
6632,"carlitos",1323084272,992396,"05/12/2011 11:24",353,0.94,5.83,-92.8,3,"4.749376","1.029951","0.752979",-92.8,4,"-2.1",-92.8,2,"-2.1",0,0.1,1.1,0.1,0,6.5,0.6,0.3,-92.8,0,0,0.06,0,-0.05,-14,6,28,0,607,-290,63.8,16.4,105,31,54.167,71.8288,13.0165,169.4299,-10.0963,29.1257,848.3091,72.5542,32.8418,1078.5858,-1.38,0.34,-0.05,-274,127,-35,-313,322,574,-1.30833,"-0.43473","-1.59695",-0.48472,"-0.76512","-0.10155",21.4,109,33,-58.3,-4,12,79.7,112.99,21,121.4,3,35.5,-0.289,95.5,131,1.8,-64.4,-132.6,1.8,159.88,263.6,0,7,2.3692,6.1734,103.5865,10730.1683,-7.069,29.416,865.2996,27.1182,55.6383,3095.6207,-0.26,1.04,0.57,2,62,23,-518,340,-37,112,-19.2,120,"8.8039","1.1119","#DIV/0!","2.6579","0.9766","#DIV/0!",-19.2,120,"8.8",-26.2,112,"8.8",7,8,"0.00",43,1.56259,114.84615,0.97789,0.95626,-25.03654,1.31194,1.72119,114.34615,1.90854,3.64253,0.21,-1.45,-0.3,48,363,-207,-239,724,485,"B"
6662,"carlitos",1323084274,996265,"05/12/2011 11:24",354,1.72,6.91,-92.7,3,"0.708793","0.790583","1.638133",-92.6,4,"-1.4",-92.7,3,"-1.4",0.1,0.2,1.3,0.2,0,7,0.1,0,-92.7,0,0,-0.05,0,0.02,-19,3,20,11,602,-303,66.2,15.8,102,31,39.2881,85.6,24.7116,610.6623,-29.1294,27.548,758.8933,38.8928,47.1943,2227.2993,0.95,-0.37,0.1,-265,126,-66,-321,327,537,-1.5618,"-1.35927","-1.08496",0.31798,"-0.30676","-0.13785",15.8,102,35,-58.2,-40.5,13,74,142.5,22,-136.7,-20.2,-2.5,-0.659,32.3,55.9,-0.6,-49.4,-117.8,-0.6,81.64,173.66,0,4,14.4753,-6.6749,123.7781,15321.0147,-7.5065,19.564,382.7482,-6.6542,37.3884,1397.8958,-0.05,-0.05,0.21,-8,-39,-1,-600,180,-1,129,-22.2,107,"-1.2398","-1.1461","#DIV/0!","-0.1904","-0.6711","#DIV/0!",82,179,"-1.2",-22.2,-154,"-1.2",104.2,333,"0.00",45,71.27286,38.83019,114.08983,13016.48984,31.04547,33.83555,1144.84414,58.06981,92.25409,8510.81638,0.34,-0.14,0.2,51,376,-223,-154,691,401,"B"
6704,"carlitos",1323084276,952278,"05/12/2011 11:24",356,0.91,5.7,-92.7,3,"6.235912","-2.078001","-2.816699",-92.7,3,"2.4",-92.8,2,"2.4",0.1,0.1,1.4,0.4,0.1,6.4,0.4,0.2,-92.7,0,0,0,0,-0.03,-19,4,27,0,599,-306,70.3,15.8,113,33,0,70.6073,0.1081,0.0117,16.4,0.2588,0.067,112.0732,0.7208,0.5195,-0.03,0.02,-0.03,-280,115,-110,-331,355,519,-0.6815,"-1.00091","#DIV/0!",-0.68196,"-0.11073","#DIV/0!",16.7,113,33,15.8,111,33,0.9,2,0,151,2.7,5.4,0.0278,94.9,45,-1,2.7,-11.2,-1,92.15,56.21,0,4,28.0756,108.7169,22.1913,492.4546,39.4174,27.9576,781.6256,18.021,12.251,150.0868,0.29,-0.71,-0.2,1,37,2,-527,326,-28,132,0.16,108,"-0.9532","-1.7100","#DIV/0!","-0.3497","-0.2628","#DIV/0!",69,172,"-1.0",0.2,-177,"-1.0",68.84,349,"0.00",39,32.25244,22.73171,136.49689,18631.40122,40.55537,20.62301,425.30847,24.00244,116.68493,13615.37374,0.64,1.89,0.95,4,322,-205,-350,732,537,"B"
6757,"carlitos",1323084281,952278,"05/12/2011 11:24",358,0.89,6.86,-93.1,3,"3.062450","-0.408574","0.128904",-92.7,4,"-0.2",-93.1,2,"-0.2",0.4,0.2,1.5,0.3,0.1,6,0.4,0.2,-92.8,0.1,0.01,0.16,-0.02,0,-15,2,27,-1,614,-292,71.2,3.71,92.2,30,32.1741,89.4647,21.9908,483.5935,-13.5953,22.0834,487.678,53.0816,48.421,2344.5889,-2.47,0.77,-0.21,-234,173,68,-93,299,598,-1.59943,"-0.57934","-0.65243",-0.32221,"-0.81952","-0.25842",11.8,103,36,-45.4,-54.4,14,57.2,157.4,22,-92.7,-11.8,-62.9,-1.079,73,35.7,-0.7,-61.5,-129.8,-0.7,134.59,165.48,0,4,27.3749,59.685,91.8203,8430.97,16.794,35.7313,1276.7277,-12.5007,40.8533,1668.9904,0.02,-0.51,-0.49,-5,-34,-25,-615,146,-83,175,47.6,-151,"-0.9169","5.2144","#DIV/0!","0.5506","-2.5189","#DIV/0!",47.6,177,"-0.9",-5.9,-177,"-0.9",53.46,354,"0.00",24,44.8549,142.31373,10.50427,110.33961,14.63627,17.10216,292.48379,90.6,86.96164,7562.326,0.39,-3.84,-0.74,-132,49,-187,-541,-174,317,"B"
6866,"carlitos",1323084288,988332,"05/12/2011 11:24",363,1.92,7.52,-93.2,3,"2.362858","-0.270317","-1.111747",-93,4,"-0.7",-93.2,2,"-0.7",0.2,0.2,1.8,0.2,0,7.3,0.6,0.4,-93.1,0.1,0,0.11,0,0,-18,1,18,6,604,-317,67.3,7.14,88.2,34,48.7193,73.8891,3.7089,13.7557,0.3422,18.7468,351.444,78.1391,23.0619,531.8509,-2.89,0.95,-0.74,-262,183,80,-70,279,597,-0.54117,"-0.80035","-1.26286",-0.86804,"-0.63828","-0.60561",19,104,34,-41.3,26.2,12,60.3,77.8,22,62.2,10.3,93.7,1.5446,66,98.3,-1,2.5,13.5,-1,63.5,84.81,0,6,13.7082,99.7859,13.5316,183.1042,37.1918,19.3165,373.1258,34.2006,21.7052,471.1147,0.34,-0.39,-0.52,6,34,47,-501,346,40,-156,37.6,-100,"-1.7677","-0.9300","#DIV/0!","0.1506","-0.9171","#DIV/0!",44.1,176,"-1.8",-6.4,-178,"-1.8",50.46,354,"0.00",26,65.88841,91.78261,120.40892,14498.30725,17.25935,20.43685,417.66468,42.89565,117.2987,13758.98576,0.22,-3.23,-0.87,-82,-110,-213,-161,-564,65,"B"
6897,"carlitos",1323084290,996371,"05/12/2011 11:24",364,1.15,5.41,-91.3,2,"-1.191153","0.009746","0.921421",-91.3,3,"-1.1",-92.3,2,"-1.1",1,0.2,1.5,0.1,0,6.1,0.4,0.2,-91.8,0.3,0.09,0.08,0.02,-0.05,-14,5,16,24,599,-316,74.3,13,104,30,50.4011,92.5066,24.5453,602.4696,-13.6374,25.0153,625.7655,45.0077,59.4683,3536.4741,-1.54,0.4,-0.18,-250,151,-10,-291,344,530,-1.60362,"-0.63191","-0.70687",-0.17793,"-0.78767","0.08376",16.9,108,42,-49.8,-81,14,66.7,189,28,37,16.8,116.1,0.6792,23.9,130.5,0.3,4.5,108.7,0.3,19.31,21.78,0,7,0.3098,35.1983,4.2049,17.6811,12.5548,3.8656,14.9427,119.2773,3.8615,14.9112,-0.06,0,0.05,12,26,66,-482,349,100,-153,43.4,-96.9,"-1.4616","-0.1588","#DIV/0!","0.2709","-1.2575","#DIV/0!",49.7,175,"-1.5",-5.9,-179,"-1.5",55.59,354,"0.00",26,54.0388,101.42623,104.57827,10936.6153,18.87164,20.16965,406.81471,58.11311,108.94928,11869.94483,0.22,-2.71,-1.13,-84,-133,-202,-159,-570,71,"B"
